stock_item_name,stock_item_code,check
이스트아시아홀딩스,900110,1
헝셩그룹,900270,1
로스웰,900260,1
GRT,900290,1
오가닉티코스메틱,900300,1
컬러레이,900310,1
윙입푸드,900340,1
삼천당제약,000250,1
중앙에너비스,000440,1
신라섬유,001000,1
안국약품,001540,1
무림SP,001810,1
이화공영,001840,1
피에스텍,002230,1
삼일기업공사,002290,1
한탑,002680,1
신신제약,002800,1
선광,003100,1
대주산업,003310,1
하림지주,003380,1
에이스침대,003800,1
한국가구,004590,1
창해에탄올,004650,1
대륙제관,004780,1
동국산업,005160,1
동진쎄미켐,005290,1
푸드웰,005670,1
대원산업,005710,1
한일사료,005860,1
매일홀딩스,005990,1
국영지앤엠,006050,1
피제이전자,006140,1
대양제지,006580,1
동구바이오제약,006620,1
서부T&D,006730,1
보성파워텍,006910,1
모헨즈,006920,1
푸른저축은행,007330,1
진양제약,007370,1
네이처셀,007390,1
영신금속,007530,1
대원,007680,1
대명소노시즌,007720,1
한일화학,007770,1
에스엠코어,007820,1
원풍물산,008290,1
원풍,008370,1
부스타,008470,1
대동기어,008830,1
삼아제약,009300,1
포스코엠텍,009520,1
삼보산업,009620,1
코센,009730,1
엠에스씨,009780,1
대한광통신,010170,1
흥국,010240,1
쌍용정보통신,010280,1
오리콤,010470,1
경동제약,011040,1
형지I&C,011080,1
유니크,011320,1
서한,011370,1
세보엠이씨,011560,1
뉴인텍,012340,1
원일특강,012620,1
리드코프,012700,1
신일제약,012790,1
모베이스전자,012860,1
하이록코리아,013030,1
동원개발,013120,1
아진산업,013310,1
CBI,013720,1
스페코,013810,1
아가방컴퍼니,013990,1
메디앙스,014100,1
원익큐브,014190,1
광림,014200,1
부방,014470,1
고려제약,014570,1
성광벤드,014620,1
오리엔탈정공,014940,1
삼륭물산,014970,1
코콤,015710,1
성우하이텍,015750,1
리더스코스메틱,016100,1
SGC이테크건설,016250,1
큐캐피탈,016600,1
인피니티엔티,016670,1
현대사료,016790,1
카스,016920,1
신원종합개발,017000,1
인터엠,017250,1
삼현철강,017480,1
세명전기,017510,1
대림제지,017650,1
한국알콜,017890,1
