stock_item_name,stock_item_code,check
동화약품,000020,1
KR모터스,000040,1
경방,000050,1
메리츠화재,000060,1
삼양홀딩스,000070,1
삼양홀딩스우,000075,1
하이트진로,000080,1
하이트진로2우B,000087,1
유한양행,000100,1
유한양행우,000105,1
CJ대한통운,000120,1
하이트진로홀딩스,000140,1
하이트진로홀딩스우,000145,1
두산,000150,1
두산우,000155,1
두산2우B,000157,1
성창기업지주,000180,1
DL,000210,1
DL우,000215,1
유유제약,000220,1
유유제약1우,000225,1
유유제약2우B,000227,1
일동홀딩스,000230,1
한국앤컴퍼니,000240,1
기아,000270,1
대유플러스,000300,1
노루홀딩스,000320,1
노루홀딩스우,000325,1
한화손해보험,000370,1
삼화페인트,000390,1
롯데손해보험,000400,1
대원강업,000430,1
조선내화,000480,1
대동,000490,1
가온전선,000500,1
삼일제약,000520,1
흥국화재,000540,1
흥국화재우,000545,1
흥국화재2우B,000547,1
CS홀딩스,000590,1
동아쏘시오홀딩스,000640,1
천일고속,000650,1
SK하이닉스,000660,1
영풍,000670,1
LS네트웍스,000680,1
유수홀딩스,000700,1
현대건설,000720,1
현대건설우,000725,1
이화산업,000760,1
삼성화재,000810,1
삼성화재우,000815,1
화천기공,000850,1
강남제비스코,000860,1
한화,000880,1
한화우,000885,1
한화3우B,00088K,1
보해양조,000890,1
유니온,000910,1
전방,000950,1
한국주철관,000970,1
DB하이텍,000990,1
DB하이텍1우,000995,1
페이퍼코리아,001020,1
CJ,001040,1
CJ우,001045,1
CJ4우(전환),00104K,1
JW중외제약,001060,1
JW중외제약우,001065,1
JW중외제약2우B,001067,1
대한방직,001070,1
만호제강,001080,1
LX인터내셔널,001120,1
대한제분,001130,1
국보,001140,1
유진투자증권,001200,1
금호전기,001210,1
동국제강,001230,1
GS글로벌,001250,1
남광토건,001260,1
부국증권,001270,1
부국증권우,001275,1
상상인증권,001290,1
백광산업,001340,1
삼성제약,001360,1
SG글로벌,001380,1
KG케미칼,001390,1
태원물산,001420,1
세아베스틸,001430,1
대한전선,001440,1
현대해상,001450,1
BYC,001460,1
BYC우,001465,1
삼부토건,001470,1
현대차증권,001500,1
SK증권,001510,1
SK증권우,001515,1
동양,001520,1
동양우,001525,1
동양2우B,001527,1
동양3우B,001529,1
DI동일,001530,1
조비,001550,1
제일연마,001560,1
금양,001570,1
케이비아이동국실업,001620,1
종근당홀딩스,001630,1
대상,001680,1
대상우,001685,1
신영증권,001720,1
신영증권우,001725,1
SK네트웍스,001740,1
SK네트웍스우,001745,1
한양증권,001750,1
한양증권우,001755,1
SHD,001770,1
알루코,001780,1
대한제당,001790,1
대한제당우,001795,1
오리온홀딩스,001800,1
삼화콘덴서,001820,1
DL건설,001880,1
KISCO홀딩스,001940,1
코오롱,002020,1
코오롱우,002025,1
아세아,002030,1
비비안,002070,1
경농,002100,1
고려산업,002140,1
도화엔지니어링,002150,1
삼양통상,002170,1
한국수출포장,002200,1
동성제약,002210,1
한일철강,002220,1
고려제강,002240,1
롯데푸드,002270,1
아세아제지,002310,1
한진,002320,1
넥센타이어,002350,1
넥센타이어1우B,002355,1
SH에너지화학,002360,1
KCC,002380,1
한독,002390,1
범양건영,002410,1
세기상사,002420,1
삼익악기,002450,1
화성산업,002460,1
조흥,002600,1
제일파마홀딩스,002620,1
오리엔트바이오,002630,1
동일제강,002690,1
신일전자,002700,1
TCC스틸,002710,1
국제약품,002720,1
보락,002760,1
진흥기업,002780,1
진흥기업우B,002785,1
진흥기업2우B,002787,1
아모레G,002790,1
아모레G우,002795,1
아모레G3우(전환),00279K,1
삼영무역,002810,1
SUN&L,002820,1
미원상사,002840,1
신풍제지,002870,1
대유에이텍,002880,1
TYM,002900,1
유성기업,002920,1
한국쉘석유,002960,1
금호건설,002990,1
금호건설우,002995,1
부광약품,003000,1
